Car Make,Column,Count,Mean,Median,Mode,Std,-3σ,+3σ
Honda,COE_num,643,34358.49766718507,32430.0,32699.0,14195.772286534171,-8228.819192417446,76945.81452678758
Honda,Depreciation_num,138,7905.072463768116,7810.0,8360.0,1368.9583905300572,3798.1972921779443,12011.947635358287
Honda,Engine Cap_num,679,1625.3755522827687,1597.0,1597.0,157.09950829847386,1154.0770273873472,2096.67407717819
Honda,Mileage_num,209,7526260.2952153105,6000016.1,898009.2,5922963.579377272,-10242630.442916507,25295151.03334713
Honda,No. of Owners_num,677,2.3028064992614476,2.0,1.0,1.451852860070529,-2.052752080950139,6.658365079473034
Honda,OMV_num,678,21697.97640117994,20553.0,20173.0,3848.462298689554,10152.58950511128,33243.3632972486
Honda,Power_num,674,97.42375860534125,92.0123,92.0123,13.010456366716937,58.39238950519044,136.45512770549206
Honda,Price_num,280,54507.06071428571,58399.5,86800.0,25925.751152970726,-23270.192744626467,132284.3141731979
Honda,Road Tax_num,676,920.939349112426,742.0,742.0,314.7932619950777,-23.44043687280714,1865.3191350976592
Hyundai,ARF_num,782,12472.450127877239,12594.0,15245.0,2740.5852435242787,4250.694397304402,20694.205858450077
Hyundai,COE_num,711,33701.693389592125,31759.0,12763.0,15146.318664764387,-11737.262604701034,79140.64938388529
Hyundai,Depreciation_num,86,6433.604651162791,6450.0,7360.0,1078.7758997402866,3197.276951941931,9669.932350383651
Hyundai,Engine Cap_num,782,1579.6815856777494,1591.0,1591.0,48.844519517086106,1433.1480271264911,1726.2151442290076
Hyundai,Mileage_num,204,5897268.081862744,4649321.1,7200014.5,5403579.095090679,-10313469.203409292,22108005.36713478
Hyundai,No. of Owners_num,781,1.7772087067861715,1.0,1.0,1.1978797053280914,-1.8164304091981027,5.370847822770446
Hyundai,OMV_num,782,12791.43094629156,12628.0,15245.0,2025.6549614271155,6714.466062010214,18868.395830572907
Hyundai,Power_num,782,92.15772749360612,93.8125,93.8125,4.975469316837344,77.23131954309409,107.08413544411815
Hyundai,Price_num,261,51021.252873563215,51888.0,32800.0,18209.615765104216,-3607.5944217494325,105650.10016887586
Hyundai,Road Tax_num,782,725.8363171355498,738.0,738.0,173.55510347397131,205.17100671363585,1246.501627557464
Jaguar,ARF_num,1,61205.0,61205.0,61205.0,,,
Jaguar,COE_num,1,35403.0,35403.0,35403.0,,,
Jaguar,Engine Cap_num,1,1997.0,1997.0,1997.0,,,
Jaguar,No. of Owners_num,1,1.0,1.0,1.0,,,
Jaguar,OMV_num,1,49432.0,49432.0,49432.0,,,
Jaguar,Power_num,1,147.0197,147.0197,147.0197,,,
Jaguar,Road Tax_num,1,1210.0,1210.0,1210.0,,,
Kia,ARF_num,499,13245.142284569138,13513.0,13989.0,2715.517600227288,5098.589483887274,21391.695085251
Kia,COE_num,438,32654.89497716895,31997.0,13088.0,14587.160314130193,-11106.585965221631,76416.37591955953
Kia,Depreciation_num,65,6638.7692307692305,6760.0,6960.0,707.0239292544925,4517.697443005753,8759.841018532708
Kia,Engine Cap_num,499,1590.2765531062125,1591.0,1591.0,25.063927729620275,1515.0847699173517,1665.4683362950734
Kia,Mileage_num,131,6319525.324427481,5500011.1,4697411.9,4952806.766992638,-8538894.976550434,21177945.625405394
Kia,No. of Owners_num,499,1.9138276553106213,1.0,1.0,1.1347863847052286,-1.4905314988050646,5.318186809426307
Kia,OMV_num,499,13687.006012024049,13782.0,13989.0,2109.3236468004943,7359.035071622566,20014.97695242553
Kia,Power_num,499,93.62278577154308,93.8125,95.3127,2.7343993528490698,85.41958771299588,101.82598383009028
Kia,Price_num,179,49785.42458100559,52800.0,36800.0,17534.900339924312,-2819.2764387673524,102390.12560077853
Kia,Road Tax_num,499,736.7234468937876,738.0,738.0,157.44209004651694,264.39717675423674,1209.0497170333383
MINI,ARF_num,1,24511.0,24511.0,24511.0,,,
MINI,COE_num,1,40001.0,40001.0,40001.0,,,
MINI,Engine Cap_num,1,1998.0,1998.0,1998.0,,,
MINI,Mileage_num,1,9100.0,9100.0,9100.0,,,
MINI,No. of Owners_num,1,1.0,1.0,1.0,,,
MINI,OMV_num,1,23222.0,23222.0,23222.0,,,
MINI,Power_num,1,170.0227,170.0227,170.0227,,,
MINI,Price_num,1,165000.0,165000.0,165000.0,,,
MINI,Road Tax_num,1,1210.0,1210.0,1210.0,,,
Mazda,ARF_num,386,12945.689119170984,12869.5,5000.0,3855.8372300527058,1378.177429012867,24513.2008093291
Mazda,COE_num,378,45516.25132275133,48401.0,42801.0,12598.169785303015,7721.741966842281,83310.76067866037
Mazda,Depreciation_num,11,6598.181818181818,6960.0,7160.0,770.0625712475342,4287.994104439215,8908.369531924422
Mazda,Engine Cap_num,386,1514.6943005181347,1496.0,1496.0,60.42576055673692,1333.4170188479238,1695.9715821883456
Mazda,Mileage_num,124,6076791.37016129,6421471.3,234438.5,3379189.108919716,-4060775.956597858,16214358.69692044
Mazda,No. of Owners_num,386,1.6010362694300517,1.0,1.0,0.8776586111023754,-1.0319395638770748,4.234012102737179
Mazda,OMV_num,386,17172.41450777202,16912.0,17812.0,2256.014458182668,10404.371133224016,23940.457882320025
Mazda,Power_num,386,86.72404792746113,88.0118,88.0118,4.5433723040037,73.09393101545002,100.35416483947223
Mazda,Price_num,139,55663.410071942446,54800.0,51800.0,13362.287617548902,15576.547219295739,95750.27292458915
Mazda,Road Tax_num,386,709.8886010362694,682.0,682.0,128.3072429639062,324.96687214455085,1094.8103299279878
Mercedes-Benz,ARF_num,7,61747.0,55556.0,42676.0,28451.693294658817,-23608.079883976447,147102.07988397643
Mercedes-Benz,COE_num,7,42568.142857142855,40989.0,35403.0,5089.343029919527,27300.113767384275,57836.171946901435
Mercedes-Benz,Engine Cap_num,7,1964.0,1991.0,1991.0,529.9245229275581,374.2264312173256,3553.7735687826744
Mercedes-Benz,Mileage_num,4,3118763.6,3125016.8,4200021.8,2669384.7846295633,-4889390.753888691,11126917.95388869
Mercedes-Benz,No. of Owners_num,7,1.2857142857142858,1.0,1.0,0.48795003647426666,-0.17813582370851422,2.749564395137086
Mercedes-Benz,OMV_num,7,49908.57142857143,46691.0,36197.0,16018.46098368112,1853.1884775280705,97963.95437961479
Mercedes-Benz,Power_num,7,162.16452857142858,155.0207,155.0207,61.37170820312114,-21.950596037934844,346.279653180792
Mercedes-Benz,Price_num,4,172619.25,141888.5,141777.0,63604.994161229195,-18195.732483687578,363434.2324836876
Mercedes-Benz,Road Tax_num,7,1284.5714285714287,1202.0,1202.0,615.8297538397164,-562.9178329477206,3132.0606900905777
Mitsubishi,ARF_num,430,11740.193023255813,12221.0,5000.0,5386.078475564533,-4418.042403437785,27898.42844994941
Mitsubishi,COE_num,413,30428.85956416465,25759.0,12763.0,13988.471645443457,-11536.555372165723,72394.27450049503
Mitsubishi,Depreciation_num,97,7544.948453608247,7450.0,7160.0,1208.4159084238997,3919.7007283365483,11170.196178879945
Mitsubishi,Engine Cap_num,430,1476.4837209302325,1499.0,1499.0,207.3852387792142,854.3280045925899,2098.639437267875
Mitsubishi,Mileage_num,115,9495611.397391303,8527919.3,12800015.9,7340821.0639388785,-12526851.794425333,31518074.58920794
Mitsubishi,No. of Owners_num,429,2.3776223776223775,2.0,1.0,1.4264074659568087,-1.9016000202480488,6.656844775492804
