Unnamed: 0,Car Name,Price,Depreciation,Reg Date,Mileage,Road Tax,Dereg Value,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,COE,Car Make,Car Model Name,COE End Date (raw),COE End Date,Price_num,Depreciation_num,Mileage_num,Road Tax_num,OMV_num,ARF_num,Engine Cap_num,Power_num,No. of Owners_num,COE_num,Cluster
4416,Mazda 3 1.6A Luxury (COE till 02/2021),N.A,N.A,,N.A.,"$1,113 /yr",N.A.,"1,598 cc","1,235 kg",2005.0,Auto,"$14,886 ","$16,375 ",79.0 kW (105 bhp),2,"$26,900 ",Mazda,3 1.6A Luxury,,2021-02-01,,,,1113.0,14886.0,16375.0,1598,79.0105,2.0,26900.0,
4417,Toyota Corolla Altis 1.6A Elegance (COE till 06/2021),N.A,N.A,,N.A.,"$1,113 /yr",N.A.,"1,598 cc","1,115 kg",2006.0,Auto,"$15,950 ","$17,545 ",81.0 kW (108 bhp),1,"$23,227 ",Toyota,Corolla Altis 1.6A Elegance,,2021-06-01,,,,1113.0,15950.0,17545.0,1598,81.0108,1.0,23227.0,
4418,Volkswagen Jetta Sport 1.4A TSI,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2011.0,Auto,"$24,364 ","$24,364 ",118.0 kW (158 bhp),1,"$56,112 ",Volkswagen,Jetta Sport 1.4A TSI,,,,,,620.0,24364.0,24364.0,1390,118.0158,1.0,56112.0,
4419,Toyota Corolla Altis 1.6A (COE till 08/2025),N.A,N.A,,N.A.,$816 /yr,N.A.,"1,598 cc","1,195 kg",2010.0,Auto,"$16,716 ","$16,716 ",80.0 kW (107 bhp),4,"$16,095 ",Toyota,Corolla Altis 1.6A,,2025-08-01,,,,816.0,16716.0,16716.0,1598,80.0107,4.0,16095.0,
4420,Toyota Corolla Axio 1.5A X (COE till 03/2023),N.A,N.A,,N.A.,$887 /yr,N.A.,"1,496 cc","1,130 kg",2008.0,Auto,"$12,768 ","$12,610 ",81.0 kW (108 bhp),1,"$19,637 ",Toyota,Corolla Axio 1.5A X,,2023-03-01,,,,887.0,12768.0,12610.0,1496,81.0108,1.0,19637.0,
4421,Honda Civic 1.6A VTi (COE till 12/2023),N.A,N.A,,N.A.,$962 /yr,N.A.,"1,595 cc","1,220 kg",2008.0,Auto,"$22,244 ","$22,244 ",92.0 kW (123 bhp),3,"$13,786 ",Honda,Civic 1.6A VTi,,2023-12-01,,,,962.0,22244.0,22244.0,1595,92.0123,3.0,13786.0,
4423,Hyundai Elantra 1.6A GLS Elite,"$65,000 ",,,"64,000 km (17.1k /yr)",$738 /yr,,"1,591 cc","1,345 kg",2017.0,Auto,"$17,875 ","$17,875 ",93.8 kW (125 bhp),1,"$51,600 ",Hyundai,Elantra 1.6A GLS Elite,,,65000.0,,6400017.1,738.0,17875.0,17875.0,1591,93.8125,1.0,51600.0,0.0
4424,Toyota Vios 1.5A E (COE till 11/2027),N.A,N.A,,N.A.,$958 /yr,N.A.,"1,497 cc","1,095 kg",2007.0,Auto,"$12,466 ","$13,713 ",80.0 kW (107 bhp),2,"$41,994 ",Toyota,Vios 1.5A E,,2027-11-01,,,,958.0,12466.0,13713.0,1497,80.0107,2.0,41994.0,
4425,Kia Cerato 1.6A SX Sunroof,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,287 kg",2018.0,Auto,"$17,844 ","$17,844 ",93.8 kW (125 bhp),1,"$25,920 ",Kia,Cerato 1.6A SX Sunroof,,,,,,738.0,17844.0,17844.0,1591,93.8125,1.0,25920.0,
4426,Kia Cerato K3 1.6A (OPC),"$51,588 ",,,"20,880 km (7k /yr)",$238 /yr,,"1,591 cc","1,295 kg",2017.0,Auto,"$12,458 ","$12,458 ",95.3 kW (127 bhp),1,"$21,200 ",Kia,Cerato K3 1.6A (OPC),,,51588.0,,208807.0,238.0,12458.0,12458.0,1591,95.3127,1.0,21200.0,0.0
4427,Honda Civic 2.0M Si (COE till 12/2029),"$61,800 ","$6,970 /yr",,"120,000 km (10.8k /yr)","$1,452 /yr",,"1,998 cc","1,282 kg",2008.0,Manual,"$23,310 ","$23,310 ",114.0 kW (152 bhp),5,"$39,313 ",Honda,Civic 2.0M Si,,2029-12-01,61800.0,6970.0,12000010.8,1452.0,23310.0,23310.0,1998,114.0152,5.0,39313.0,0.0
4428,Skoda Octavia 1.4A TSI Ambition Plus,N.A,N.A,,N.A.,$624 /yr,N.A.,"1,395 cc","1,289 kg",2018.0,Auto,"$20,151 ","$20,212 ",110.0 kW (147 bhp),1,"$39,400 ",Skoda,Octavia 1.4A TSI Ambition Plus,,,,,,624.0,20151.0,20212.0,1395,110.0147,1.0,39400.0,
