,Car Name,Price,Depreciation,Reg Date,Mileage,Road Tax,Dereg Value,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,COE
647,Mazda 3 1.6A Luxury (COE till 03/2025),"$28,999 ","$7,000 /yr",,"133,000 km (12.2k /yr)",$816 /yr,,"1,598 cc","1,275 kg",2009,Auto,"$21,468 ","$21,468 ",77.0 kW (103 bhp),5,"$16,604 "
648,Honda Grace Hybrid 1.5A DX,"$72,888 ",,,"98,999 km (22.8k /yr)",N.A.,,"1,496 cc","1,170 kg",2016,Auto,"$20,274 ","$5,000 ",101.0 kW (135 bhp),2,N.A.
649,Honda Civic 1.6M VTi (COE till 11/2023),"$21,800 ","$7,740 /yr",,"145,000 km (11.9k /yr)",$962 /yr,,"1,595 cc","1,190 kg",2008,Manual,"$23,295 ","$20,707 ",92.0 kW (123 bhp),5,"$14,835 "
650,Kia Cerato Forte 1.6A SX (COE till 06/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,251 kg",2009,Auto,"$14,090 ","$14,090 ",92.7 kW (124 bhp),3,"$14,920 "
651,Honda Civic 1.6A VTi (COE till 07/2028),"$46,800 ","$6,300 /yr",,N.A.,$962 /yr,,"1,595 cc","1,220 kg",2008,Auto,"$18,655 ","$18,655 ",92.0 kW (123 bhp),3,"$37,165 "
652,Volkswagen Jetta Sport 1.4A TSI (COE till 09/2029),"$55,500 ","$6,410 /yr",,"133,000 km (12.1k /yr)",$682 /yr,,"1,390 cc","1,377 kg",2009,Auto,"$21,615 ","$21,615 ",118.0 kW (158 bhp),2,"$29,485 "
653,Volkswagen Jetta GP 1.4A TSI Highline,"$59,800 ",,,"32,000 km (7.5k /yr)",$620 /yr,,"1,390 cc","1,417 kg",2016,Auto,"$20,867 ","$21,214 ",90.0 kW (120 bhp),1,"$50,991 "
654,Toyota Corolla Altis 1.6A,"$62,800 ",,,"50,000 km (12.1k /yr)",$742 /yr,,"1,598 cc","1,215 kg",2016,Auto,"$19,990 ","$19,990 ",90.0 kW (120 bhp),1,"$50,951 "
655,Honda Civic 1.8A VTi-S (COE till 06/2021),"$5,800 ",N.A.,,"120,129 km (8.2k /yr)","$1,467 /yr",,"1,799 cc","1,219 kg",2006,Auto,"$19,155 ","$21,071 ",103.0 kW (138 bhp),1,"$24,240 "
656,Kia Cerato Forte 1.6A SX (New 5-yr COE),"$35,800 ","$7,160 /yr",,N.A.,$738 /yr,N.A.,"1,591 cc","1,261 kg",2011,Auto,"$12,751 ","$12,751 ",91.1 kW (122 bhp),2,N.A.
657,Honda Civic 2.0A (COE till 10/2023),"$22,800 ","$8,360 /yr",,N.A.,"$1,573 /yr",,"1,998 cc","1,312 kg",2008,Auto,"$24,243 ","$24,243 ",114.0 kW (152 bhp),More than 6,"$16,140 "
658,Mitsubishi Lancer EX 1.6A,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,590 cc","1,289 kg",2015,Auto,"$11,904 ","$11,904 ",86.0 kW (115 bhp),1,"$57,301 "
659,Kia Cerato K3 1.6A,"$51,438 ",,,N.A.,$738 /yr,,"1,591 cc","1,295 kg",2016,Auto,"$14,767 ","$14,767 ",95.3 kW (127 bhp),1,"$52,668 "
660,Honda Civic ESI 4M (COE till 04/2029),"$48,800 ","$5,930 /yr",,N.A.,"$1,107 /yr",,"1,590 cc",N.A.,1992,Manual,"$17,695 ","$26,543 ",,More than 6,"$26,175 "
661,Mazda 3 1.5A Sunroof,"$64,800 ",,,"33,617 km (10.9k /yr)",$682 /yr,,"1,496 cc","1,310 kg",2017,Auto,"$14,938 ","$14,938 ",88.0 kW (118 bhp),2,"$42,900 "
662,Toyota Vios 1.5A E (COE till 03/2023),"$14,200 ","$6,660 /yr",,"163,247 km (12.7k /yr)",$889 /yr,,"1,497 cc","1,095 kg",2008,Auto,"$12,498 ","$12,498 ",80.0 kW (107 bhp),4,"$19,637 "
663,Toyota Corolla Altis 1.6A Elegance,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,230 kg",2019,Auto,"$20,881 ","$21,234 ",96.0 kW (128 bhp),1,"$36,704 "
664,Mitsubishi Lancer EX 1.5A Sports (COE till 07/2025),"$36,000 ","$8,090 /yr",,"148,900 km (14.1k /yr)",$752 /yr,,"1,499 cc","1,313 kg",2009,Auto,"$18,588 ","$18,588 ",80.0 kW (107 bhp),4,"$16,438 "
665,Honda Civic 1.6A VTi (COE till 09/2023),"$21,800 ","$8,280 /yr",,"128,000 km (10.3k /yr)",$962 /yr,,"1,595 cc","1,220 kg",2008,Auto,"$18,684 ","$18,684 ",92.0 kW (123 bhp),2,"$16,170 "
666,Hyundai Elantra 1.6A GLS Elite,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2017,Auto,"$17,784 ","$17,784 ",93.8 kW (125 bhp),2,"$52,000 "
667,Renault Megane Sedan 1.2A Privilege TCe,"$79,777 ",,,"43,485 km (15.7k /yr)",$508 /yr,,"1,197 cc","1,315 kg",2017,Auto,"$19,990 ","$19,990 ",97.0 kW (130 bhp),1,"$37,000 "
668,Hyundai Avante 1.6A GLS S (OPC),"$59,800 ",,,"29,818 km (14.3k /yr)",$238 /yr,,"1,591 cc","1,345 kg",2018,Auto,"$14,338 ","$14,338 ",93.8 kW (125 bhp),1,"$8,501 "
669,Mitsubishi Lancer 1.6A GLX (COE till 09/2023),"$14,500 ","$5,470 /yr",,"201,567 km (16.4k /yr)",$954 /yr,,"1,584 cc","1,162 kg",2008,Auto,"$11,842 ","$6,931 ",79.0 kW (105 bhp),3,"$16,170 "
670,Hyundai Avante 1.6A S (COE till 01/2029),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,264 kg",2009,Auto,"$12,045 ",$360 ,89.7 kW (120 bhp),3,"$26,047 "
671,Toyota Vios 1.5A E (COE till 03/2022),"$10,000 ","$9,130 /yr",,N.A.,$958 /yr,,"1,497 cc","1,020 kg",2006,Auto,"$12,237 ","$13,461 ",80.0 kW (107 bhp),3,"$24,715 "
672,Mazda 3 1.5A Sunroof,"$70,800 ",,,"45,000 km (15.7k /yr)",$682 /yr,,"1,496 cc","1,310 kg",2017,Auto,"$15,174 ","$15,174 ",88.0 kW (118 bhp),1,"$38,000 "
673,Mazda 3 1.5A Deluxe,"$49,800 ",,,"90,000 km (18.7k /yr)",$682 /yr,,"1,496 cc","1,321 kg",2016,Auto,"$18,865 ","$13,865 ",88.0 kW (118 bhp),1,"$46,009 "
674,Volkswagen Jetta 1.4A TSI,"$40,800 ",,,"121,300 km (20.1k /yr)",$620 /yr,,"1,390 cc","1,417 kg",2014,Auto,"$19,154 ","$9,154 ",90.0 kW (120 bhp),1,"$65,001 "
675,Kia Cerato K3 1.6A,"$61,800 ",,,"38,700 km (13.5k /yr)",$738 /yr,,"1,591 cc","1,295 kg",2017,Auto,"$11,490 ","$11,490 ",95.3 kW (127 bhp),1,"$41,400 "
676,Toyota Vios 1.5A J (COE till 07/2024),"$24,800 ","$7,260 /yr",,"178,912 km (15.4k /yr)",$821 /yr,,"1,497 cc","1,095 kg",2008,Auto,"$11,927 ","$11,927 ",80.0 kW (107 bhp),3,"$15,256 "
677,Kia Cerato K3 1.6A (OPC),"$46,888 ",,,"37,534 km (10.2k /yr)",$238 /yr,,"1,591 cc","1,295 kg",2017,Auto,"$12,103 ","$12,103 ",95.3 kW (127 bhp),1,"$34,106 "
678,Mazda 3 1.5A Sunroof,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,339 kg",2014,Auto,"$16,885 ","$6,885 ",88.0 kW (118 bhp),1,"$66,010 "
679,Hyundai Elantra 1.6A GLS,"$46,800 ",,,"129,000 km (25.5k /yr)",$738 /yr,,"1,591 cc","1,292 kg",2015,Auto,"$12,771 ","$12,771 ",97.0 kW (130 bhp),1,"$45,002 "
680,Toyota Corolla Altis 1.6A Elegance (New 5-yr COE),"$38,800 ","$7,760 /yr",,"139,256 km (14.5k /yr)",$742 /yr,N.A.,"1,598 cc","1,195 kg",2011,Auto,"$15,263 ","$15,263 ",90.0 kW (120 bhp),1,N.A.
681,Honda Civic 1.6A VTi (COE till 08/2024),"$28,800 ","$8,100 /yr",,"133,256 km (11.6k /yr)",$888 /yr,,"1,595 cc","1,220 kg",2008,Auto,"$25,281 ","$25,281 ",92.0 kW (123 bhp),3,"$14,664 "
682,Honda Civic 1.6A VTi (COE till 11/2028),"$52,800 ","$6,810 /yr",,N.A.,$962 /yr,,"1,595 cc","1,220 kg",2008,Auto,"$20,211 ","$20,211 ",92.0 kW (123 bhp),4,"$29,670 "
683,Mazda 3 1.5A Deluxe,"$51,800 ",,,"97,548 km (18.5k /yr)",$682 /yr,,"1,496 cc","1,321 kg",2015,Auto,"$17,996 ","$12,996 ",88.0 kW (118 bhp),1,"$56,209 "
684,Kia Cerato 1.6A EX (OPC),"$60,800 ",,,"2,980 km (1.4k /yr)",$238 /yr,,"1,591 cc","1,287 kg",2018,Auto,"$13,857 ","$13,857 ",93.8 kW (125 bhp),1,"$11,199 "
685,Toyota Corolla Altis 1.6A (New 5-yr COE),"$36,800 ","$7,360 /yr",,"155,000 km (15.1k /yr)",$816 /yr,N.A.,"1,598 cc","1,195 kg",2010,Auto,"$16,286 ","$16,286 ",90.0 kW (120 bhp),2,N.A.
686,Kia Cerato Forte 1.6A EX,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,261 kg",2012,Auto,"$11,090 ","$11,090 ",91.2 kW (122 bhp),1,"$59,003 "
687,Toyota Allion 1.5A (COE till 01/2026),"$38,800 ","$7,800 /yr",,"164,632 km (16.4k /yr)",$682 /yr,,"1,496 cc","1,200 kg",2009,Auto,"$18,955 ","$18,955 ",81.0 kW (108 bhp),2,"$19,069 "
688,Nissan Sylphy 1.5A,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,498 cc","1,175 kg",2011,Auto,"$18,491 ","$18,491 ",80.0 kW (107 bhp),1,"$55,997 "
689,Mazda 3 1.5A Deluxe,"$63,800 ",,,"48,237 km (13k /yr)",$682 /yr,,"1,496 cc","1,331 kg",2017,Auto,"$19,359 ","$14,359 ",88.0 kW (118 bhp),1,"$51,106 "
690,Toyota Corolla Altis 1.6A (New 5-yr COE),"$37,800 ","$7,560 /yr",,"103,000 km (10.4k /yr)",$742 /yr,N.A.,"1,598 cc","1,195 kg",2010,Auto,"$16,446 ","$16,446 ",90.0 kW (120 bhp),2,N.A.
691,Toyota Vios 1.5A J (New 5-yr COE),N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,095 kg",2010,Auto,"$11,915 ","$11,915 ",80.0 kW (107 bhp),2,N.A.
692,Toyota Corolla Altis 1.6A (COE till 07/2023),"$18,800 ","$7,570 /yr",,"102,000 km (8.1k /yr)",$965 /yr,,"1,598 cc","1,195 kg",2008,Auto,"$16,777 ","$16,777 ",80.0 kW (107 bhp),3,"$18,583 "
693,Toyota Corolla Altis 1.6A (COE till 06/2028),N.A,N.A,,N.A.,$965 /yr,N.A.,"1,598 cc","1,195 kg",2008,Auto,"$16,777 ","$15,774 ",80.0 kW (107 bhp),3,"$38,214 "
694,Toyota Vios 1.5A E (COE till 03/2024),"$22,800 ","$7,240 /yr",,"122,000 km (10.4k /yr)",$821 /yr,,"1,497 cc","1,095 kg",2009,Auto,"$12,468 ","$12,468 ",80.0 kW (107 bhp),2,"$12,763 "
695,Toyota Allion 1.5A (COE till 04/2024),"$22,900 ","$7,080 /yr",,"178,000 km (15.1k /yr)",$818 /yr,,"1,496 cc","1,200 kg",2008,Auto,"$13,713 ","$13,713 ",81.0 kW (108 bhp),4,"$13,088 "
696,Hyundai Avante 1.6A (COE till 12/2028),"$40,800 ","$5,170 /yr",,N.A.,$959 /yr,,"1,591 cc","1,264 kg",2008,Auto,"$11,726 ","$11,726 ",89.7 kW (120 bhp),3,"$27,571 "
697,Hyundai Elantra 1.6A GLS Elite,"$72,800 ",,,"18,000 km (8.1k /yr)",$738 /yr,,"1,591 cc","1,345 kg",2018,Auto,"$14,549 ","$14,549 ",93.8 kW (125 bhp),1,"$31,997 "
698,Mitsubishi Attrage 1.2A,"$46,800 ",,,"67,508 km (16.7k /yr)",$506 /yr,,"1,193 cc",940 kg,2016,Auto,"$13,671 ","$5,000 ",57.0 kW (76 bhp),1,"$50,101 "
699,Honda Grace Hybrid 1.5A DX,"$72,888 ",,,"78,889 km (18.4k /yr)",N.A.,,"1,496 cc","1,170 kg",2016,Auto,"$23,122 ","$5,000 ",101.0 kW (135 bhp),2,N.A.
700,Honda Civic 1.6A VTi (COE till 07/2028),"$46,800 ","$6,250 /yr",,"113,200 km (9k /yr)",$962 /yr,,"1,595 cc","1,220 kg",2008,Auto,"$18,655 ","$18,655 ",92.0 kW (123 bhp),4,"$37,165 "
701,Mazda 3 1.6A SP (COE till 10/2026),"$35,800 ","$6,300 /yr",,"151,000 km (10.5k /yr)","$1,113 /yr",,"1,598 cc","1,235 kg",2006,Auto,"$15,376 ","$16,914 ",79.0 kW (105 bhp),3,"$52,108 "
702,Toyota Vios 1.5A E (COE till 05/2024),N.A,N.A,,N.A.,$821 /yr,N.A.,"1,497 cc","1,095 kg",2009,Auto,"$12,468 ","$12,468 ",80.0 kW (107 bhp),3,"$13,943 "
703,Toyota Vios 1.5A G Sports (COE till 07/2024),N.A,N.A,,N.A.,$821 /yr,N.A.,"1,497 cc","1,110 kg",2009,Auto,"$13,876 ","$13,876 ",80.0 kW (107 bhp),3,"$15,256 "
704,Kia Cerato K3 1.6A,"$57,800 ",,,"27,000 km (7.2k /yr)",$738 /yr,,"1,591 cc","1,295 kg",2017,Auto,"$12,018 ","$12,018 ",95.3 kW (127 bhp),1,"$52,000 "
705,Toyota Corolla Axio Hybrid 1.5A G,"$63,800 ",,,"48,300 km (15.3k /yr)",$682 /yr,,"1,496 cc","1,140 kg",2017,Auto,"$23,380 ","$5,000 ",73.0 kW (97 bhp),1,"$45,201 "
706,Volkswagen Jetta 1.4A TSI,"$18,800 ",,,"161,000 km (17.2k /yr)",$620 /yr,,"1,390 cc","1,417 kg",2011,Auto,"$18,675 ","$18,675 ",90.0 kW (120 bhp),3,"$56,002 "
707,Kia Cerato 1.6A EX,"$73,800 ",,,N.A.,$738 /yr,,"1,591 cc","1,287 kg",2018,Auto,"$13,838 ","$13,838 ",93.8 kW (125 bhp),1,"$25,000 "
708,Toyota Corolla Altis 1.6A Elegance,"$69,800 ",,,"58,967 km (15.4k /yr)",$742 /yr,,"1,598 cc","1,215 kg",2016,Auto,"$19,990 ","$19,990 ",90.0 kW (120 bhp),1,"$51,765 "
709,Hyundai Elantra 1.6A GLS S,"$59,800 ",,,"67,000 km (20.1k /yr)",$738 /yr,,"1,591 cc","1,345 kg",2017,Auto,"$12,577 ","$12,577 ",93.8 kW (125 bhp),1,"$42,902 "
710,Subaru Impreza 4D 1.5R (COE till 04/2029),N.A,N.A.,,N.A.,$821 /yr,,"1,498 cc","1,325 kg",2008,Auto,"$16,394 ","$16,394 ",79.0 kW (105 bhp),4,"$26,175 "
711,Honda Civic 2.0M Si (COE till 11/2022),"$14,000 ","$7,840 /yr",,N.A.,"$1,694 /yr",,"1,998 cc","1,282 kg",2007,Manual,"$20,846 ","$22,931 ",114.0 kW (152 bhp),6,"$25,084 "
712,Hyundai Elantra 1.6A GLS S,"$58,800 ",,,"66,542 km (19.7k /yr)",$738 /yr,,"1,591 cc","1,345 kg",2017,Auto,"$12,674 ","$12,674 ",93.8 kW (125 bhp),1,"$46,778 "
713,Chevrolet Cruze 1.6A,"$51,500 ",,,"76,000 km (19.4k /yr)",$742 /yr,,"1,598 cc","1,413 kg",2016,Auto,"$14,478 ","$14,478 ",86.0 kW (115 bhp),1,"$49,430 "
714,Toyota Vios 1.5A G,"$72,800 ",,,"27,000 km (14.8k /yr)",$682 /yr,,"1,496 cc","1,100 kg",2019,Auto,"$15,741 ","$15,741 ",79.0 kW (105 bhp),1,"$25,689 "
715,Kia Cerato 1.6A SX Sunroof,"$74,888 ",,,"45,000 km (19.3k /yr)",$738 /yr,,"1,591 cc","1,287 kg",2018,Auto,"$18,066 ","$18,066 ",93.8 kW (125 bhp),1,"$28,000 "
716,Toyota Corolla Altis 1.6A Elegance (New 5-yr COE),"$38,800 ","$7,760 /yr",,"80,450 km (8.4k /yr)",$742 /yr,N.A.,"1,598 cc","1,195 kg",2011,Auto,"$15,263 ","$15,263 ",90.0 kW (120 bhp),2,N.A.
717,Kia Cerato K3 1.6A EX,"$53,800 ",,,"45,897 km (10.3k /yr)",$738 /yr,,"1,591 cc","1,295 kg",2016,Auto,"$14,327 ","$14,327 ",95.3 kW (127 bhp),1,"$52,503 "
718,Chevrolet Cruze 1.6A LS,"$21,800 ",,,"98,000 km (11.3k /yr)",$742 /yr,,"1,598 cc","1,388 kg",2011,Auto,"$13,416 ","$13,416 ",91.0 kW (122 bhp),2,"$59,003 "
719,Toyota Corolla Altis 1.6A (COE till 01/2026),"$37,500 ","$7,550 /yr",,"88,000 km (8.8k /yr)",$742 /yr,,"1,598 cc","1,195 kg",2010,Auto,"$16,286 ","$16,286 ",90.0 kW (120 bhp),3,"$19,069 "
720,Toyota Corolla Axio 1.5A X (COE till 04/2024),N.A,N.A,,N.A.,$818 /yr,N.A.,"1,496 cc","1,130 kg",2009,Auto,"$15,599 ","$15,599 ",81.0 kW (108 bhp),2,"$13,088 "
721,Honda Civic 1.6A VTi,"$92,800 ",,,"26,920 km (11.9k /yr)",$742 /yr,,"1,597 cc","1,249 kg",2018,Auto,"$20,612 ","$20,857 ",92.0 kW (123 bhp),1,"$28,000 "
722,Kia Cerato K3 1.6A,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,295 kg",2016,Auto,"$14,723 ","$14,723 ",95.3 kW (127 bhp),2,"$50,951 "
723,Hyundai Elantra 1.6A GLS Elite,"$56,800 ",,,"118,000 km (26.9k /yr)",$738 /yr,,"1,591 cc","1,345 kg",2016,Auto,"$17,432 ","$17,432 ",93.8 kW (125 bhp),1,"$51,506 "
724,Hyundai Elantra 1.6A,"$28,800 ",,,"120,000 km (15.5k /yr)",$738 /yr,,"1,591 cc","1,267 kg",2012,Auto,"$13,943 ","$8,943 ",95.6 kW (128 bhp),1,"$62,999 "
725,Hyundai Elantra 1.6A GLS,"$57,800 ",,,"63,000 km (17.8k /yr)",$738 /yr,,"1,591 cc","1,345 kg",2017,Auto,"$12,881 ","$12,881 ",93.8 kW (125 bhp),1,"$42,801 "
726,Nissan Sylphy 1.6A Premium,"$78,800 ",,,"27,000 km",$742 /yr,,"1,598 cc","1,205 kg",2020,Auto,"$16,773 ","$16,773 ",85.0 kW (113 bhp),1,"$32,999 "
727,Hyundai Avante 1.6A Sunroof (COE till 11/2022),"$12,800 ","$7,050 /yr",,N.A.,$959 /yr,,"1,591 cc","1,264 kg",2007,Auto,"$14,072 ","$15,480 ",89.7 kW (120 bhp),4,"$20,997 "
728,Toyota Vios 1.5A E (New 5-yr COE),N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,095 kg",2010,Auto,"$12,306 ","$12,306 ",80.0 kW (107 bhp),5,N.A.
729,Toyota Corolla Altis 1.6A (New 5-yr COE),"$38,800 ","$7,760 /yr",,"119,000 km (12.4k /yr)",$742 /yr,N.A.,"1,598 cc","1,195 kg",2011,Auto,"$15,263 ","$15,263 ",90.0 kW (120 bhp),3,N.A.
730,Toyota Corolla Altis 1.6A (COE till 12/2025),"$33,800 ","$6,910 /yr",,N.A.,$816 /yr,,"1,598 cc","1,195 kg",2010,Auto,"$16,286 ","$16,286 ",90.0 kW (120 bhp),2,"$18,652 "
731,Mazda 3 1.5A Deluxe,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,321 kg",2015,Auto,"$17,812 ","$12,812 ",88.0 kW (118 bhp),1,"$45,504 "
732,Mazda 3 1.5A Sunroof,"$53,800 ",,,"113,000 km (24.1k /yr)",$682 /yr,,"1,496 cc","1,321 kg",2016,Auto,"$18,694 ","$13,694 ",88.0 kW (118 bhp),1,"$49,700 "
733,Nissan Sylphy 1.6A,"$54,300 ",,,"75,000 km (16.2k /yr)",$742 /yr,,"1,598 cc","1,205 kg",2016,Auto,"$16,807 ","$16,807 ",85.0 kW (113 bhp),1,"$53,694 "
734,Nissan Sylphy 1.6A Premium,"$53,888 ",,,"85,000 km (18.5k /yr)",$742 /yr,,"1,598 cc","1,205 kg",2016,Auto,"$16,910 ","$16,910 ",85.0 kW (113 bhp),1,"$55,200 "
735,Nissan Sylphy 1.6A Premium,"$76,800 ",,,"15,000 km (9.7k /yr)",$742 /yr,,"1,598 cc","1,205 kg",2019,Auto,"$16,713 ","$16,713 ",85.0 kW (113 bhp),1,"$28,589 "
736,Toyota Corolla Altis 1.6A Elegance,"$62,800 ",,,"66,000 km (14.3k /yr)",$742 /yr,,"1,598 cc","1,205 kg",2015,Auto,"$19,589 ","$19,589 ",90.0 kW (120 bhp),1,"$55,200 "
737,Honda Civic 1.8A VTi-S (COE till 06/2022),"$11,800 ","$8,860 /yr",,"140,000 km (10.2k /yr)","$1,369 /yr",,"1,799 cc","1,219 kg",2007,Auto,"$19,923 ","$21,916 ",103.0 kW (138 bhp),2,"$27,044 "
